event,weight,matches,missing,total
usopen,57,64,4,68
usopen,61,49,4,53
usopen,65,81,4,85
usopen,70,88,4,92
usopen,74,55,4,59
usopen,79,50,6,56
usopen,86,72,2,74
usopen,92,56,5,61
usopen,97,34,4,38
usopen,125,65,4,69
wtt,57,11,2,13
wtt,61,15,0,15
wtt,65,15,0,15
wtt,70,13,0,13
wtt,74,15,0,15
wtt,79,12,0,12
wtt,86,14,0,14
wtt,92,12,0,12
wtt,97,10,0,10
wtt,125,17,0,17
